,rank,mesh,ranks,omp_threads,ranks_per_node,timesteps,dt,max_iters,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,kern_0,kern_1,kern_2,SchurInv_kern
29,29,256,42,1,42,100,5e-06,100,1.653998613357544,327.5625,12.357746601104735,356.375,58.65164828300476,369.375,72.66339349746706,0.0009968650992959738,0.002355904784053564,1.209089532494545e-06,34.23763625137508
30,30,256,42,1,42,100,5e-06,100,1.6421945095062256,327.5,12.361166715621948,356.0625,58.651846408843994,367.0,72.65520763397217,0.0009664639364928008,0.002386134117841721,1.5581026673316956e-06,34.19778180751018
31,31,256,42,1,42,100,5e-06,100,1.2125036716461182,327.5625,12.361133575439453,355.9375,58.651408195495605,367.125,72.22504544258119,0.001060450915247202,0.002290826058015227,1.540873199701309e-06,34.06472925632261
32,32,256,42,1,42,100,5e-06,100,1.5619220733642578,327.5625,12.36024260520935,356.75,58.64636826515198,366.5625,72.5685329437256,0.000960140023380518,0.0023924079723656178,1.5350524336099625e-06,34.06917829951271
33,33,256,42,1,42,100,5e-06,100,1.1483979225158691,326.9375,12.348760843276978,355.8125,58.64625811576843,368.1875,72.14341688156128,0.0009823390282690523,0.002370453905314207,1.6191042959690094e-06,34.269283974543214
34,34,256,42,1,42,100,5e-06,100,1.8201427459716797,327.0625,12.35866641998291,355.0625,58.64565944671631,366.875,72.82446861267091,0.000962310004979372,0.002391293179243803,1.3909302651882172e-06,34.20427083177492
35,35,256,42,1,42,100,5e-06,100,1.0865392684936523,327.0,12.360853433609009,354.875,58.64865899085998,366.625,72.09605169296266,0.0009431929793208838,0.002409668872132898,1.4042016118764877e-06,34.303249607561156
36,36,256,42,1,42,100,5e-06,100,1.27524995803833,327.6875,12.349538087844849,355.75,58.64350295066834,366.875,72.26829099655151,0.000987023813650012,0.002366418018937111,1.3990793377161026e-06,34.29489031597041
37,37,256,42,1,42,100,5e-06,100,1.1424338817596436,327.0,12.354478359222412,354.9375,58.651375532150276,365.9375,72.14828777313231,0.0009511499665677546,0.002402710961177945,1.291045919060707e-06,34.1455452402588
38,38,256,42,1,42,100,5e-06,100,1.2274248600006104,327.375,12.350361108779907,355.8125,58.609695196151726,366.3125,72.18748116493225,0.0009612920694053172,0.002391193062067032,1.95484608411789e-06,34.12897209310904
39,39,256,42,1,42,100,5e-06,100,1.1471846103668213,327.375,12.360804080963135,355.625,58.65184545516968,366.5,72.15983414649962,0.000995977083221078,0.002356798155233264,1.4810357242822647e-06,34.295829574111856
40,40,256,42,1,42,100,5e-06,100,1.673698663711548,327.0625,12.356263875961304,355.125,58.65185880661011,366.8125,72.68182134628294,0.0015533771365880964,0.0017929100431501863,1.8260907381772995e-06,34.231343378545716
41,41,256,42,1,42,100,5e-06,100,2.052634954452514,327.0625,12.354077577590942,354.4375,58.64630126953125,365.875,73.0530138015747,0.002180456882342696,0.0011639639269560573,2.3008324205875397e-06,34.25765521568246
0,0,256,4,1,42,100,5e-06,100,0.8050768375396729,370.625,12.008981943130493,393.8125,185.00445938110352,430.875,197.81851816177368,0.008822017116472125,0.00035527790896594524,1.2509990483522415e-06,118.71593787986784
1,1,256,4,1,42,100,5e-06,100,0.8051204681396484,325.8125,12.007811784744264,371.875,185.00487041473392,422.6875,197.8178026676178,0.008574824081733823,0.0006258110515773296,1.5280675143003462e-06,118.658097517211
2,2,256,4,1,42,100,5e-06,100,0.8051688671112059,325.8125,12.007989645004272,371.875,185.00473833084104,423.0625,197.81789684295657,0.00864161900244653,0.0005621418822556733,1.359032467007637e-06,119.99050704063849
3,3,256,4,1,42,100,5e-06,100,0.8051495552062988,326.0,12.007981538772585,372.1875,185.00537586212158,423.75,197.81850695610046,0.008566763019189239,0.000636866083368659,1.254957169294357e-06,120.04676580335943
0,0,256,8,1,42,100,5e-06,100,0.8069581985473633,369.6875,11.111688613891602,391.875,108.39870548248292,412.625,120.31735229492188,0.004541849950328468,0.00025567319244146347,1.4170072972774506e-06,71.2679059044458
1,1,256,8,1,42,100,5e-06,100,0.8311712741851807,325.4375,11.110714197158813,359.25,108.39782667160034,390.0,120.33971214294434,0.004452374065294862,0.0003621589858084917,1.3241078704595566e-06,70.56935404613614
2,2,256,8,1,42,100,5e-06,100,0.8556303977966309,325.4375,11.110533952713013,358.8125,108.40007209777832,391.8125,120.36623644828795,0.004353347001597285,0.00046121492050588136,1.2079253792762756e-06,71.0800750600174
3,3,256,8,1,42,100,5e-06,100,0.8643116950988771,325.8125,11.110766410827637,359.0,108.39546418190002,389.5,120.37054228782654,0.004441107856109738,0.00037450296804308886,1.2291129678487778e-06,71.1888960453216
4,4,256,8,1,42,100,5e-06,100,0.8434476852416992,322.1875,11.110721111297607,359.125,108.39774084091188,389.25,120.35190963745116,0.004423831822350621,0.0003924989141523838,1.1827796697616577e-06,70.40683435532264
5,5,256,8,1,42,100,5e-06,100,0.8200299739837646,325.6875,11.110721588134766,359.1875,108.39966583251952,389.6875,120.33041739463806,0.004432635148987174,0.0003824979066848755,1.2470409274101255e-06,70.38678710954264
6,6,256,8,1,42,100,5e-06,100,0.796173095703125,325.5,11.110769748687744,358.75,108.3977472782135,391.375,120.30469012260436,0.004349384922534227,0.00046677305363118654,1.1650845408439636e-06,71.08174553397113
7,7,256,8,1,42,100,5e-06,100,0.7706382274627686,325.8125,11.11068606376648,359.4375,108.39972066879272,392.375,120.28104496002196,0.004397928947582841,0.00041861808858811855,1.1939555406570437e-06,71.02568620024248
